['981', '742', '388']
['293', '268', '997']
['396', '32', '267']
['384', '314', '908']
['816', '58', '973']
['27', '569', '234']
['644', '296', '89']
['280', '345']
['858', '23', '481']
['269', '158', '2']
['966', '83', '352']
['631', '322', '149']
['11', '491']
['159', '930', '194']
