['747', '569', '108', '313', '128', '311', '711', '137', '618', '608']
['845', '924', '409', '154', '22', '676', '683', '331', '890', '873']
['526', '176', '518', '341', '538', '205', '921', '344', '146', '350']
['308', '417', '174', '411', '306', '37', '72', '139', '21', '81']
['736', '908', '727', '393', '97', '717', '567', '793', '243', '762']
['293', '734', '265', '773', '194', '839', '202', '856', '323', '373']
['855', '415', '983', '674', '557', '720', '288', '438', '3', '255']
['226', '962', '590', '346', '17', '184', '578', '534', '240', '745']
['859', '208', '459', '307', '218', '964', '1', '418', '390', '443']
['729', '533', '272', '910', '707', '596', '480', '400', '495', '987']
['807', '36', '814', '764', '469', '347', '254', '53', '812', '123']
['994', '927', '886', '843', '888', '54', '742', '35', '116', '710']
['679', '862', '276', '353', '221', '217', '164', '493', '816', '999']
['423', '804', '995', '407', '107', '151', '427', '324', '89', '329']
['93', '662', '627', '91', '527', '161', '914', '185', '387', '195']
['77', '501', '811', '476', '334', '956', '216', '957', '781', '753']
['440', '630', '82', '831', '245', '519', '481', '464', '989', '779']
['271', '9', '634', '838', '305', '31', '197', '757', '728', '960']
['825', '320', '600', '935', '172', '806', '643', '993', '708', '431']
['828', '212', '152', '369', '615', '796', '13', '450', '447', '645']
['222', '537', '775', '877', '166', '803', '186', '511', '381', '905']
['483', '756', '721', '156', '449', '821', '253', '815', '133', '633']
['973', '92', '826', '669', '778', '284', '818', '784', '339', '933']
['277', '568', '206', '20', '918', '280', '870', '647', '312', '696']
['667', '453', '340', '432', '207', '851', '474', '939', '848', '199']
['121', '641', '837', '215', '274', '200', '950', '706', '853', '292']
['45', '739', '433', '115', '691', '780', '968', '38', '163', '648']
['610', '881', '612', '510', '299', '532', '909', '572', '55', '954']
['256', '258', '2', '622', '127', '963', '731', '976', '290', '658']
['654', '424', '539', '759', '640', '259', '666', '902', '229', '585']
['611', '972', '942', '58', '748', '571', '684', '497', '201', '915']
['790', '763', '554', '897', '713', '211', '86', '625', '88', '365']
['698', '842', '471', '694', '268', '549', '439', '704', '797', '101']
['470', '565', '945', '399', '566', '788', '130', '718', '632', '558']
['162', '792', '675', '18', '372', '479', '617', '832', '168', '147']
['719', '904', '29', '444', '744', '499', '295', '695', '198', '64']
